id;name;description;start_time_of_day;end_time_of_day;day_of_week;action
1;buoy blah cleverly;ew abaft;6914;8707;16380;DENY
2;though locality furiously;quietly backdate provided;2129;7856;21031;DENY
3;brr;once how red;25163;32262;26553;DENY
4;guarantee lycra delayed;forsaken;14198;25634;28743;DENY
5;wild aha gee;mountain sister-in-law blah;12870;27305;18984;DENY
6;challenge gosh yum;aw;32472;6926;14194;DENY
7;immediately;request;14053;24963;10360;ALLOW
8;incidentally elastic;meh boohoo;28049;9215;5924;ALLOW
9;quarrelsomely;or;7418;10088;8898;DENY
10;solidly;splinter;25787;3537;23618;ALLOW
