id;address_line_one;address_line_two;address_line_three;address_type;post_office_id
1;before utterly;acquaintance;hence;BRANCH;1
2;piercing yuck yippee;likely whose;open;HQ;2
3;per outdo given;furnace;finally worth phew;PRESENT;3
4;throughout;if;hospitalise apud unnecessarily;BRANCH;4
5;minus shakily brr;out;supposing restock;PRESENT;5
6;tomorrow;physically;wholly nor;HQ;6
7;repeatedly;potentially naughty;well under;PERMANENT;7
8;other as whether;lazy awesome;toy;BRANCH;8
9;usually briskly;except;olive although;PRESENT;9
10;ick clothes;barrage;plot glasses;BRANCH;10
