id;file_path;serial_no;issue_date;expiry_date;agency_license_type_id
1;clamp psst;yet;2024-07-01;2024-06-30;1
2;than hm;phooey truthfully duh;2024-06-30;2024-07-01;2
3;placate left;hmph;2024-07-01;2024-06-30;3
4;beside seashore bah;fooey belated over;2024-06-30;2024-06-30;4
5;partial woot drat;ill dear;2024-06-30;2024-07-01;5
6;uh-huh;indeed worth alongside;2024-07-01;2024-06-30;6
7;yahoo;base fluid impress;2024-07-01;2024-07-01;7
8;among fennel;though towards;2024-07-01;2024-06-30;8
9;brr;acrobatic praise edger;2024-06-30;2024-07-01;9
10;quaintly forthright;past testing;2024-07-01;2024-07-01;10
