id;name;short_name;lat;lon;gate_type;is_active
1;eek;resolution trumpet;15659.91;29824.03;HUMAN;true
2;nor tender waterlogged;functional;25253.81;9442.94;HUMAN;false
3;beside among;once debate beard;19811.07;199.2;VEHICLE;false
4;upright since;creation hear triumphantly;26673.91;11169.36;VEHICLE;true
5;whenever between;arctic unless fooey;17478.06;30191.8;VEHICLE;true
6;boo weepy bah;tag huzzah;11972.09;31551.83;HUMAN;true
7;playfully why pish;by yawningly that;23246.64;2459.39;VEHICLE;false
8;during sparse;interestingly;19232.54;6766.86;HUMAN;true
9;angrily ew;familiar current;21890.06;2463.34;HUMAN;false
10;versus blank down;questionably huzzah;18614.04;13312.64;VEHICLE;false
