id;collected_fee;from_date;end_date;status;pass_number;media_serial;pass_type_id;requested_by_id;assignment_id
1;10832.46;2024-07-01T02:50:39;2024-07-01T01:13:36;ACTIVATED;31151;before salt twilight;1;1;1
2;15295.44;2024-07-01T09:29:15;2024-07-01T02:36:03;ACTIVATED;2949;roughly ordinary yippee;2;2;2
3;4808.42;2024-07-01T14:39:36;2024-07-01T08:56:12;CANCEL;9616;provided;3;2;3
4;20964.59;2024-06-30T22:27:21;2024-07-01T05:03:46;PRINTED;28334;pocket;4;1;4
5;11619.52;2024-07-01T12:36:58;2024-06-30T15:01:16;REQUESTED;18043;health;5;2;5
6;20419.93;2024-07-01T14:32:46;2024-07-01T02:43:39;BLOCKED;7176;excluding corny;6;1;6
7;17139.53;2024-06-30T18:46:10;2024-07-01T05:32:56;EXPIRED;11199;deficient superior;7;2;7
8;22954.21;2024-06-30T18:05:08;2024-07-01T13:18:21;REQUESTED;12295;discourage;8;1;8
9;27532.85;2024-07-01T05:41:04;2024-06-30T18:37:27;EXPIRED;12081;bread despite now;9;1;9
10;10539.78;2024-07-01T08:26:15;2024-06-30T22:45:13;CANCEL;11253;tradition within ack;10;1;10
