id;name;short_name;location;is_active
1;somber;sans;pomelo versus;false
2;theism behind;international mature;fooey wallow gosh;true
3;aha till unwieldy;while safely;abaft;false
4;woefully whose what;before glistening perception;who lest by;false
5;now but;yieldingly however;finally around cruelly;false
6;drill flint;fervently because wife;meaningfully ready;false
7;seldom underneath painfully;deter save;invader major exotic;false
8;glittering intrepid;zowie resolve even;station phew;false
9;hm sadly;duh briskly;magnetise why;false
10;sadly even strike;hole;flickering;false
